"variable","completeness","validity","uniqueness"
"id",1,1,11687110
"jobdate",1,1,361
"state",1,1,57
"soc",0.9760239,1,829
"socname",0.9760239,1,829
"lat",0.9728879,1,26580
"lon",0.9728879,1,27906
"minedu",0.4418033,1,5
"maxedu",0.147361,1,5
