"variable","completeness","validity","uniqueness"
"id",1,1,11687110
"jobdate",1,1,361
"state",1,1,57
"soc",0.976,1,829
"socname",0.976,1,829
"lat",0.9729,1,26580
"lon",0.9729,1,27906
"minedu",0.4418,1,5
"maxedu",0.1474,1,5
