"Year","National","Northeast","Midwest","South","West"
2010,101.329191901047,97.7784456039958,101.699963254492,106.088844888551,97.1616720682494
2011,97.4946900602431,95.1669397374998,97.7453292260582,104.740351544123,87.9669249242956
2012,106.345197596343,103.782597954731,108.939592246487,117.402328742491,87.5210745767041
2013,91.9133477611622,88.8147065028948,89.3652228620582,100.018339780968,83.8561367481516
2014,100.252147659472,97.7159503856813,93.5511144074394,108.459643054743,95.5910341495163
2015,104.959896518159,102.566312326971,106.140354075434,113.290836541562,92.5276381788541
2016,99.8003545567253,97.1712594400401,96.3482208297406,107.021158935946,93.8333703743351
2017,106.942482998395,103.339377190255,108.244713882672,112.570709078618,99.8796380834304
2018,99.0904800724515,102.056193430137,106.194868638701,102.899332511236,84.434894725534
2019,87.8433881879661,91.9930894629576,94.839982155977,92.3878794521969,71.8913994636694
