"variable","completeness","validity","uniqueness"
"id",1,1,14090686
"jobdate",1,1,366
"state",1,1,57
"soc",0.9745,1,831
"socname",0.9745,1,831
"lat",0.9827,1,29499
"lon",0.9827,1,31360
"minedu",0.4997,1,5
"maxedu",0.167,1,5
