"","state","year","per_diff","11","13","15","17","19","21","23","25","27","29","31","33","35","37","39","41","43","45","47","49","51","53","55","<NA>"
"21","Arizona",2010,89.5659603422213,0.1154,0.0662,0.1208,0.0351,0.0083,0.013,0.0094,0.0198,0.0204,0.1623,0.0273,0.0085,0.0279,0.0117,0.0195,0.123,0.1046,7e-04,0.0108,0.0316,0.0193,0.0224,3e-04,0.0218
"22","Arizona",2011,68.1949318483871,0.1253,0.0718,0.1238,0.0393,0.009,0.0115,0.0084,0.0232,0.0212,0.1353,0.0215,0.0091,0.0267,0.0109,0.0207,0.1241,0.1048,4e-04,0.0105,0.0317,0.0214,0.0262,3e-04,0.0228
"23","Arizona",2012,98.9529460519287,0.1182,0.0743,0.1143,0.041,0.0125,0.0138,0.011,0.0356,0.02,0.1369,0.0237,0.0103,0.0271,0.0097,0.0191,0.1067,0.1068,3e-04,0.0117,0.0331,0.0226,0.0266,9e-04,0.0238
"24","Arizona",2013,88.6928628708901,0.1067,0.0645,0.0964,0.0282,0.0083,0.0127,0.0115,0.0355,0.024,0.122,0.0206,0.0118,0.0425,0.0131,0.0327,0.1254,0.1158,4e-04,0.0112,0.0329,0.021,0.0356,7e-04,0.0264
"25","Arizona",2014,89.1013466824961,0.0985,0.0615,0.1028,0.0255,0.0081,0.0116,0.0088,0.0358,0.0227,0.1287,0.0207,0.0113,0.0475,0.0138,0.0347,0.127,0.1139,3e-04,0.0086,0.0277,0.0222,0.0437,5e-04,0.024
"26","Arizona",2015,81.6203295341593,0.0981,0.0684,0.1106,0.0251,0.0077,0.0109,0.0052,0.033,0.0188,0.1498,0.0204,0.0114,0.0468,0.0116,0.0274,0.1208,0.1117,3e-04,0.0071,0.0249,0.0178,0.0499,4e-04,0.0219
"27","Arizona",2016,86.5198381049788,0.0936,0.0641,0.0856,0.0235,0.0087,0.0111,0.0045,0.0316,0.0176,0.1717,0.0225,0.0114,0.0495,0.0121,0.021,0.1162,0.1103,4e-04,0.008,0.0263,0.0192,0.0656,4e-04,0.0249
"28","Arizona",2017,90.0065059243341,0.0881,0.0699,0.0804,0.0252,0.0084,0.0095,0.0045,0.0257,0.0179,0.1857,0.0219,0.0111,0.0511,0.0124,0.0196,0.1093,0.1228,5e-04,0.0085,0.0267,0.0211,0.0538,6e-04,0.0253
"29","Arizona",2018,76.9445237249271,0.0965,0.065,0.093,0.0266,0.0084,0.0115,0.0058,0.0394,0.02,0.1117,0.0208,0.0118,0.0549,0.0189,0.03,0.1067,0.1256,5e-04,0.0133,0.0347,0.0255,0.0503,7e-04,0.0284
"30","Arizona",2019,68.9198264378494,0.0961,0.064,0.0873,0.0273,0.0078,0.0132,0.0055,0.0358,0.0202,0.1191,0.025,0.0117,0.0582,0.0206,0.0285,0.1018,0.123,6e-04,0.0138,0.0363,0.0262,0.0495,0.001,0.0276
"31","Arkansas",2010,113.451279423732,0.1222,0.047,0.0691,0.0222,0.007,0.0113,0.0054,0.0165,0.0264,0.1654,0.03,0.009,0.0252,0.0104,0.0145,0.1659,0.0992,6e-04,0.0113,0.0441,0.0166,0.0546,8e-04,0.0254
"32","Arkansas",2011,116.26476501223,0.1401,0.0528,0.0789,0.0252,0.0069,0.0119,0.0058,0.016,0.0188,0.1437,0.0247,0.0085,0.0201,0.0092,0.0119,0.1527,0.1009,5e-04,0.012,0.0412,0.0236,0.07,8e-04,0.0238
"33","Arkansas",2012,106.585745851277,0.1238,0.0509,0.0689,0.0274,0.0089,0.0128,0.0072,0.0186,0.0225,0.1775,0.0273,0.0096,0.0256,0.0089,0.0131,0.1251,0.1012,6e-04,0.0136,0.0373,0.0231,0.0685,0.0025,0.0253
"34","Arkansas",2013,91.3145470785116,0.1155,0.0459,0.0552,0.0236,0.0077,0.0148,0.0079,0.0182,0.023,0.126,0.022,0.0103,0.0423,0.0128,0.0236,0.1435,0.1107,0.0012,0.0138,0.0396,0.0232,0.084,0.0032,0.0319
"35","Arkansas",2014,98.4033797426271,0.1074,0.0464,0.0563,0.0235,0.0087,0.0167,0.0058,0.0262,0.0257,0.1088,0.0173,0.0109,0.0422,0.0118,0.0292,0.1565,0.1119,9e-04,0.0107,0.0339,0.0276,0.0914,0.0028,0.0273
"36","Arkansas",2015,107.948421480255,0.0961,0.0449,0.055,0.0195,0.0073,0.0179,0.0037,0.0263,0.0211,0.1431,0.0208,0.0127,0.0407,0.0123,0.0216,0.131,0.1094,0.002,0.0096,0.035,0.0224,0.1207,0.0024,0.0249
"37","Arkansas",2016,84.5370030534756,0.0796,0.0359,0.0353,0.015,0.0057,0.0125,0.0027,0.0206,0.0178,0.1335,0.0178,0.0103,0.0452,0.0122,0.0151,0.1182,0.0928,0.0018,0.0095,0.03,0.025,0.2374,0.0017,0.0244
"38","Arkansas",2017,114.70861354264,0.0881,0.036,0.0404,0.0189,0.0057,0.0103,0.0023,0.0266,0.0215,0.1916,0.0222,0.0095,0.0475,0.0136,0.0163,0.1253,0.0908,9e-04,0.0087,0.0309,0.0254,0.1444,0.0025,0.0206
"39","Arkansas",2018,115.045398461357,0.0844,0.0359,0.0528,0.0197,0.0059,0.0096,0.003,0.0315,0.0164,0.1621,0.0198,0.0095,0.0403,0.0156,0.0228,0.1374,0.076,0.001,0.0105,0.0302,0.0228,0.1706,0.0013,0.0209
"40","Arkansas",2019,129.202426261758,0.0953,0.0462,0.0581,0.0218,0.0073,0.016,0.0037,0.0332,0.0196,0.1496,0.0254,0.011,0.039,0.0183,0.0139,0.1058,0.0839,0.0016,0.0132,0.0356,0.0251,0.1475,0.0025,0.0263
"41","California",2010,96.6234657124689,0.144,0.074,0.1788,0.0397,0.0142,0.01,0.0139,0.0264,0.0319,0.0917,0.0174,0.0094,0.0188,0.0088,0.0158,0.1133,0.0969,4e-04,0.0076,0.0256,0.0185,0.0214,3e-04,0.0213
"42","California",2011,93.2583257033031,0.1489,0.078,0.1898,0.0411,0.0141,0.0088,0.0149,0.0244,0.0298,0.089,0.0138,0.0081,0.0174,0.0071,0.0166,0.1194,0.0909,3e-04,0.0057,0.0213,0.0177,0.0207,2e-04,0.0219
"43","California",2012,83.1445676436085,0.1407,0.0773,0.2181,0.0436,0.0144,0.0086,0.0171,0.0287,0.0324,0.0773,0.0122,0.0078,0.0216,0.0069,0.0162,0.1009,0.0907,2e-04,0.0055,0.0204,0.017,0.0189,3e-04,0.0231
"44","California",2013,81.9079912204122,0.1367,0.0741,0.137,0.0343,0.0123,0.0107,0.0151,0.0277,0.0302,0.0842,0.0148,0.01,0.0338,0.01,0.0287,0.1236,0.1051,5e-04,0.0085,0.0259,0.02,0.0288,4e-04,0.0274
"45","California",2014,95.733025890494,0.1322,0.0704,0.1383,0.0316,0.0131,0.0109,0.0124,0.0343,0.0291,0.0874,0.0146,0.0102,0.0367,0.0111,0.0365,0.1235,0.1026,4e-04,0.0077,0.0234,0.0193,0.0283,4e-04,0.0255
"46","California",2015,91.7632051987201,0.13,0.0743,0.1604,0.031,0.0125,0.0101,0.0085,0.0324,0.0274,0.1041,0.014,0.0118,0.0333,0.0102,0.0233,0.1101,0.1017,3e-04,0.0067,0.0212,0.0162,0.0369,4e-04,0.0233
"47","California",2016,91.8224003823672,0.1247,0.0709,0.1173,0.0284,0.0126,0.0099,0.0071,0.0337,0.0253,0.1277,0.0149,0.0119,0.0396,0.0095,0.0131,0.1126,0.1077,3e-04,0.0069,0.0229,0.0171,0.061,4e-04,0.0246
"48","California",2017,100.311170889185,0.1237,0.0719,0.1231,0.0315,0.0129,0.0095,0.0065,0.0333,0.0248,0.1356,0.0147,0.0135,0.0395,0.0111,0.0173,0.0995,0.1174,5e-04,0.007,0.0215,0.0178,0.0429,5e-04,0.0242
"49","California",2018,76.3724697627205,0.1261,0.0707,0.1263,0.0323,0.0118,0.0112,0.0079,0.0332,0.0265,0.0875,0.0156,0.0142,0.0449,0.0138,0.0268,0.1049,0.1138,5e-04,0.0087,0.0258,0.0225,0.0467,5e-04,0.0278
"50","California",2019,58.2316189279024,0.1236,0.0728,0.1373,0.0337,0.012,0.0118,0.0085,0.0316,0.0273,0.094,0.0162,0.0143,0.0409,0.0138,0.024,0.1002,0.1118,5e-04,0.0087,0.0259,0.022,0.0407,7e-04,0.0278
