"variable","completeness","validity","uniqueness"
"id",1,1,20828263
"jobdate",1,1,365
"state",1,1,59
"soc",0.9747,1,833
"socname",0.9747,1,833
"lat",0.9919,1,36649
"lon",0.9919,1,38749
"minedu",0.5145,1,5
"maxedu",0.1735,1,5
